angle_deg,angle_folder,mass_g,pretension_N,file,file_path,velocity_mps,peak_accel_mps2,dt_s
90.0,90 deg soliton data,80.0,0.7848,80g_20260429-174313.h5,90 deg soliton data\80g_20260429-174313.h5,86.97433096668487,1189.773824280124,2e-07
90.0,90 deg soliton data,80.0,0.7848,80g_20260429-174316.h5,90 deg soliton data\80g_20260429-174316.h5,87.89237668161435,1124.200394917218,2e-07
90.0,90 deg soliton data,80.0,0.7848,80g_20260429-174319.h5,90 deg soliton data\80g_20260429-174319.h5,87.72896295276132,1138.722794012749,2e-07
90.0,90 deg soliton data,80.0,0.7848,80g_20260429-174322.h5,90 deg soliton data\80g_20260429-174322.h5,86.8616622349492,1125.1984384323725,2e-07
90.0,90 deg soliton data,80.0,0.7848,80g_20260429-174326.h5,90 deg soliton data\80g_20260429-174326.h5,86.12763656030286,1038.557139479557,2e-07
90.0,90 deg soliton data,80.0,0.7848,80g_20260429-174331.h5,90 deg soliton data\80g_20260429-174331.h5,87.65049879600963,1100.1981647893354,2e-07
135.0,135 deg soliton data,100.0,0.9810000000000001,100g_20260429-180227.h5,135 deg soliton data\100g_20260429-180227.h5,92.29208924949289,1556.896467078179,2e-07
135.0,135 deg soliton data,100.0,0.9810000000000001,100g_20260429-180231.h5,135 deg soliton data\100g_20260429-180231.h5,91.81981981981981,1590.3385409571242,2e-07
135.0,135 deg soliton data,100.0,0.9810000000000001,100g_20260429-180235.h5,135 deg soliton data\100g_20260429-180235.h5,91.03901672145204,1635.2378767062462,2e-07
135.0,135 deg soliton data,100.0,0.9810000000000001,100g_20260429-180239.h5,135 deg soliton data\100g_20260429-180239.h5,90.01625097152547,1701.0321829338043,2e-07
135.0,135 deg soliton data,100.0,0.9810000000000001,100g_20260429-180242.h5,135 deg soliton data\100g_20260429-180242.h5,92.04537244418756,1713.229095390061,2e-07
135.0,135 deg soliton data,100.0,0.9810000000000001,100g_20260429-180245.h5,135 deg soliton data\100g_20260429-180245.h5,90.29697356297399,1734.1378958449,2e-07
135.0,135 deg soliton data,100.0,0.9810000000000001,100g_20260429-180249.h5,135 deg soliton data\100g_20260429-180249.h5,90.79247434435575,1717.4643679650646,2e-07
135.0,135 deg soliton data,100.0,0.9810000000000001,100g_20260429-180252.h5,135 deg soliton data\100g_20260429-180252.h5,91.40479265317836,1633.0977231498612,2e-07
135.0,135 deg soliton data,100.0,0.9810000000000001,100g_20260429-180256.h5,135 deg soliton data\100g_20260429-180256.h5,92.26535341830822,1662.5085721836963,2e-07
