frequency,-17.7010014E-03_magnitude,-13.5050230E-03_magnitude,-147.6733945E-03_magnitude,+29.8932120E-03_magnitude
395.0015800063104,38.09099395276639,228.71286779452814,2021.6136405289622,60.631950007276444
400.0016000063903,45.9819688316356,257.1233753099492,2349.652048786566,39.63380246999894
405.00162000647015,37.28555540232305,267.4913530586211,2431.9090374925436,41.79428367129224
410.00164000655,22.886829402542297,270.4911413432591,2413.797985378035,58.679457908248864
415.0016600066299,45.37547806876884,294.92351934196563,2691.2977505313456,57.577944981277156
420.00168000670976,72.39530463950793,331.47745641123566,3161.9423197837846,38.30437997533285
425.0017000067897,81.37709169012797,347.51110110844814,3400.826873338051,30.662391089613582
430.00172000686956,81.28605380136254,344.14803461512986,3392.7371365185168,46.96638840417579
435.00174000694943,106.14092720020278,363.6818899509924,3639.332522026241,51.56068772601284
440.0017600070293,153.9424806903179,421.2145021996833,4343.433095142633,37.11270862796647
445.0017800071092,192.42034147011532,472.3140205659418,4982.48679406383,21.152419432551703
450.00180000718905,210.45293511940017,487.3445557135631,5210.945996491197,33.14883631417251
455.0018200072689,240.08496647807178,503.22911482496795,5488.3915857898655,42.68328514889671
460.00184000734885,328.5322866192501,585.1236455017458,6608.1556712315205,35.20786107540763
465.0018600074287,459.9618653734421,714.699009030486,8310.473603103876,17.138865927961884
470.0018800075086,578.61160746718,807.1903984801612,9554.336112083216,19.260522007520414
475.00190000758846,635.1281231891822,799.0470586722288,9553.392546588702,32.662222380495066
480.00192000766833,602.668742026487,677.049770102325,8111.545318217168,33.339334243993584
485.0019400077482,484.4243840723257,473.9801124691494,5605.1838366091415,20.809606379066107
490.0019600078281,314.92705927664525,249.7947107805292,2803.1363266696167,8.893969658777964
495.00198000790795,162.7672758929091,71.26763276782444,901.0039081015384,22.72989989633719
500.0020000079878,139.43258035467744,65.8797241825469,1469.9268300983863,31.653904847390937
505.00202000806775,178.76298042476017,89.27511725882569,1711.5012513779113,27.70523913987709
510.0020400081476,171.85728406010807,58.51980603675276,1263.6365483024522,13.696218047753412
515.0020600082274,133.34307496257108,9.57857211732082,946.9275669556057,14.43046961597996
520.0020800083073,126.79203205057449,31.42758882652521,1272.2052044144655,29.045742075767347
525.0021000083873,156.98028853167995,37.438540939472155,1453.5646787983326,32.91814643974187
530.0021200084672,170.79895619667047,14.71629674959468,1275.0922570800572,23.21869150530924
535.002140008547,160.24202009480007,20.18275349817552,1098.1584429061484,13.537833302368579
540.0021600086269,154.8732953395361,47.41523330896947,1247.6966059759607,27.218888483393982
545.0021800087068,170.62861997540838,54.98413737128229,1404.4728695143174,36.755989884280226
550.0022000087866,184.1407406775209,44.400831869042904,1332.3412908863227,31.455597805380318
555.0022200088665,181.19982434869183,31.31164937217358,1196.3835349212402,17.9086954963797
560.0022400089464,176.11021915343628,31.60658075180273,1259.6849580659475,24.412043258090335
565.0022600090263,183.50311586343554,31.784525621125198,1383.3771731980619,37.44833288971968
570.0022800091061,189.54278712123886,20.540557879778166,1308.4718206894884,36.718130571815095
575.002300009186,176.72115938098563,2.026247750418858,1052.5434888336436,23.844918967668082
580.0023200092659,153.81325516440543,14.824207323027231,912.6187539307098,22.446640878592845
585.0023400093457,149.62766187928457,21.05944458915904,1028.545917519658,35.83810408671853
590.0023600094256,164.83507998208185,15.565307771903756,1103.510323485443,38.612894030186055
595.0023800095055,170.12094247530564,9.254773804376013,992.4926464322617,27.42173275884956
600.0024000095855,156.5351680395568,18.173211544476192,850.0492147798519,20.250879958051794
605.0024200096653,145.48395958823423,23.38518547211401,886.820087837865,32.38170299530628
610.0024400097452,155.8752991967499,18.986295387430754,978.2283556624312,38.04924265952506
615.0024600098251,169.28164033880242,11.642880702284721,941.8660178589245,29.142171547953836
620.002480009905,165.21324192358898,16.729648409346442,832.7667088162228,17.612794980146106
625.0025000099848,151.15482187275785,22.71051095113109,836.4679649365022,26.822636700035304
630.0025200100647,151.36487835002436,20.717863835141483,928.8057150839882,34.846606929231456
635.0025400101446,166.35833199295385,15.445261214807484,934.7246732378234,28.889334136862825
640.0025600102244,172.92614909304245,19.494675360067628,832.2435395776434,15.515386925695575
645.0025800103043,163.0695586496702,26.22988918881264,763.3193587249523,20.20330321051356
650.0026000103842,152.19217031462725,25.71505274030629,802.6347272260061,29.539848301660125
