x-axis,1,2,3
second,Volt,Volt,Volt
-604.16000E-06,+1.23429671E-03,+2.77964864E-03,+1.36005023E-03
-604.10500E-06,+1.23429671E-03,+2.77964864E-03,+1.36005023E-03
-604.05000E-06,+1.23429671E-03,+3.40778934E-03,+1.36005023E-03
-603.99500E-06,+1.23429671E-03,+4.28718631E-03,+1.86256279E-03
-603.94000E-06,+1.23429671E-03,+2.77964864E-03,+2.74195976E-03
-603.88500E-06,+1.23429671E-03,+2.77964864E-03,+1.36005023E-03
-603.83000E-06,+1.23429671E-03,+2.77964864E-03,+1.36005023E-03
-603.77500E-06,+1.23429671E-03,+2.77964864E-03,+1.36005023E-03
-603.72000E-06,+1.86243741E-03,+2.77964864E-03,+1.36005023E-03
-603.66500E-06,+2.74183438E-03,+2.77964864E-03,+1.36005023E-03
-603.61000E-06,+1.86243741E-03,+2.77964864E-03,+1.36005023E-03
-603.55500E-06,+2.74183438E-03,+2.77964864E-03,+1.36005023E-03
-603.50000E-06,+1.23429671E-03,+3.40778934E-03,+1.36005023E-03
-603.44500E-06,+1.23429671E-03,+4.28718631E-03,+1.36005023E-03
-603.39000E-06,+1.23429671E-03,+3.40778934E-03,+1.36005023E-03
-603.33500E-06,+1.23429671E-03,+4.28718631E-03,+1.36005023E-03
-603.28000E-06,+1.86243741E-03,+2.77964864E-03,+1.36005023E-03
-603.22500E-06,+3.24434694E-03,+2.77964864E-03,+1.36005023E-03
-603.17000E-06,+2.74183438E-03,+2.77964864E-03,+1.36005023E-03
-603.11500E-06,+1.86243741E-03,+2.77964864E-03,+1.86256279E-03
-603.06000E-06,+2.74183438E-03,+2.27713608E-03,+2.74195976E-03
-603.00500E-06,+1.23429671E-03,+1.39773911E-03,+1.36005023E-03
-602.95000E-06,+1.23429671E-03,+2.77964864E-03,+731.90953E-06
-602.89500E-06,+1.23429671E-03,+2.77964864E-03,-650.00000E-06
-602.84000E-06,+1.23429671E-03,+2.77964864E-03,-147.48744E-06
-602.78500E-06,+1.86243741E-03,+2.77964864E-03,+1.36005023E-03
-602.73000E-06,+3.24434694E-03,+2.77964864E-03,+1.36005023E-03
-602.67500E-06,+3.24434694E-03,+2.77964864E-03,+1.36005023E-03
-602.62000E-06,+3.24434694E-03,+2.77964864E-03,+1.36005023E-03
-602.56500E-06,+2.74183438E-03,+2.77964864E-03,+1.36005023E-03
-602.51000E-06,+1.86243741E-03,+2.77964864E-03,+1.36005023E-03
-602.45500E-06,+2.74183438E-03,+3.40778934E-03,+1.86256279E-03
-602.40000E-06,+1.86243741E-03,+4.28718631E-03,+2.74195976E-03
-602.34500E-06,+2.74183438E-03,+3.40778934E-03,+1.36005023E-03
-602.29000E-06,+1.23429671E-03,+4.28718631E-03,+1.36005023E-03
-602.23500E-06,+1.23429671E-03,+2.77964864E-03,+1.36005023E-03
-602.18000E-06,+1.23429671E-03,+2.77964864E-03,+1.36005023E-03
-602.12500E-06,+1.86243741E-03,+2.77964864E-03,+1.36005023E-03
-602.07000E-06,+3.24434694E-03,+2.77964864E-03,+1.36005023E-03
-602.01500E-06,+2.74183438E-03,+2.77964864E-03,+731.90953E-06
-601.96000E-06,+1.23429671E-03,+2.77964864E-03,-147.48744E-06
-601.90500E-06,+1.23429671E-03,+2.77964864E-03,+1.36005023E-03
-601.85000E-06,+1.23429671E-03,+2.77964864E-03,+1.36005023E-03
-601.79500E-06,+1.86243741E-03,+2.77964864E-03,+1.36005023E-03
-601.74000E-06,+3.24434694E-03,+2.77964864E-03,+1.36005023E-03
-601.68500E-06,+2.74183438E-03,+2.77964864E-03,+1.36005023E-03
-601.63000E-06,+1.23429671E-03,+2.77964864E-03,+1.36005023E-03
-601.57500E-06,+1.23429671E-03,+2.77964864E-03,+1.36005023E-03
-601.52000E-06,+1.23429671E-03,+2.77964864E-03,+1.36005023E-03
-601.46500E-06,+1.86243741E-03,+2.77964864E-03,+1.36005023E-03
-601.41000E-06,+3.24434694E-03,+2.77964864E-03,+1.36005023E-03
-601.35500E-06,+2.74183438E-03,+2.77964864E-03,+1.36005023E-03
-601.30000E-06,+1.23429671E-03,+2.27713608E-03,+1.36005023E-03
-601.24500E-06,+1.23429671E-03,+769.59841E-06,+1.36005023E-03
-601.19000E-06,+1.23429671E-03,+1.39773911E-03,+1.36005023E-03
-601.13500E-06,+1.23429671E-03,+2.77964864E-03,+1.36005023E-03
-601.08000E-06,+1.23429671E-03,+2.77964864E-03,+1.36005023E-03
-601.02500E-06,+1.23429671E-03,+2.77964864E-03,+1.36005023E-03
-600.97000E-06,+1.23429671E-03,+2.77964864E-03,+1.36005023E-03
-600.91500E-06,+1.23429671E-03,+2.27713608E-03,+1.36005023E-03
-600.86000E-06,+1.23429671E-03,+1.39773911E-03,+1.36005023E-03
-600.80500E-06,+1.23429671E-03,+2.77964864E-03,+1.36005023E-03
-600.75000E-06,+1.23429671E-03,+2.77964864E-03,+1.36005023E-03
-600.69500E-06,+1.23429671E-03,+2.77964864E-03,+1.36005023E-03
-600.64000E-06,+1.23429671E-03,+2.77964864E-03,+1.86256279E-03
-600.58500E-06,+1.23429671E-03,+2.77964864E-03,+2.74195976E-03
-600.53000E-06,+1.23429671E-03,+2.77964864E-03,+1.36005023E-03
-600.47500E-06,+1.23429671E-03,+2.77964864E-03,+1.36005023E-03
-600.42000E-06,+1.23429671E-03,+2.77964864E-03,+1.36005023E-03
-600.36500E-06,+1.23429671E-03,+2.27713608E-03,+1.36005023E-03
-600.31000E-06,+1.23429671E-03,+1.39773911E-03,+1.86256279E-03
-600.25500E-06,+1.23429671E-03,+2.77964864E-03,+2.74195976E-03
-600.20000E-06,+1.23429671E-03,+2.77964864E-03,+1.36005023E-03
-600.14500E-06,+1.23429671E-03,+2.77964864E-03,+1.36005023E-03
-600.09000E-06,+731.78415E-06,+2.77964864E-03,+1.86256279E-03
-600.03500E-06,-147.61282E-06,+2.77964864E-03,+3.37010046E-03
-599.98000E-06,+731.78415E-06,+2.77964864E-03,+2.74195976E-03
-599.92500E-06,-147.61282E-06,+3.40778934E-03,+1.86256279E-03
-599.87000E-06,+1.23429671E-03,+4.78969887E-03,+3.37010046E-03
-599.81500E-06,+1.23429671E-03,+4.28718631E-03,+3.37010046E-03
-599.76000E-06,+1.23429671E-03,+2.77964864E-03,+3.37010046E-03
-599.70500E-06,+1.23429671E-03,+2.77964864E-03,+3.37010046E-03
-599.65000E-06,+1.23429671E-03,+2.77964864E-03,+2.74195976E-03
-599.59500E-06,+1.23429671E-03,+2.77964864E-03,+1.36005023E-03
-599.54000E-06,+731.78415E-06,+3.40778934E-03,+1.36005023E-03
