x-axis,1,2,3,4
second,Volt,Volt,Volt,Volt
-1.118900E-03,-16.695976E-03,-8.982410E-03,-147.673395E-03,+58.913312E-03
-1.118800E-03,-16.695976E-03,-9.484923E-03,-147.673395E-03,+59.038940E-03
-1.118700E-03,-21.218589E-03,-13.505023E-03,-147.673395E-03,+60.043965E-03
-1.118600E-03,-24.736177E-03,-13.505023E-03,-147.673395E-03,+60.043965E-03
-1.118500E-03,-20.716077E-03,-13.505023E-03,-147.673395E-03,+60.043965E-03
-1.118400E-03,-16.695976E-03,-13.505023E-03,-147.673395E-03,+60.043965E-03
-1.118300E-03,-16.695976E-03,-13.505023E-03,-147.673395E-03,+60.043965E-03
-1.118200E-03,-16.695976E-03,-8.982410E-03,-147.673395E-03,+60.043965E-03
-1.118100E-03,-21.218589E-03,-9.484923E-03,-147.673395E-03,+58.913312E-03
-1.118000E-03,-20.716077E-03,-13.505023E-03,-147.673395E-03,+59.038940E-03
-1.117900E-03,-16.695976E-03,-13.505023E-03,-147.673395E-03,+58.913312E-03
-1.117800E-03,-16.695976E-03,-13.505023E-03,-147.673395E-03,+59.038940E-03
-1.117700E-03,-16.695976E-03,-8.982410E-03,-147.673395E-03,+58.913312E-03
-1.117600E-03,-21.218589E-03,-9.484923E-03,-147.673395E-03,+58.033915E-03
-1.117500E-03,-20.716077E-03,-13.505023E-03,-167.773897E-03,+58.033915E-03
-1.117400E-03,-21.218589E-03,-13.505023E-03,-187.874399E-03,+58.033915E-03
-1.117300E-03,-20.716077E-03,-8.982410E-03,-165.261334E-03,+58.033915E-03
-1.117200E-03,-16.695976E-03,-9.484923E-03,-147.673395E-03,+59.038940E-03
-1.117100E-03,-16.695976E-03,-13.505023E-03,-147.673395E-03,+58.913312E-03
-1.117000E-03,-16.695976E-03,-13.505023E-03,-147.673395E-03,+58.033915E-03
-1.116900E-03,-21.218589E-03,-13.505023E-03,-167.773897E-03,+58.033915E-03
-1.116800E-03,-24.736177E-03,-8.982410E-03,-165.261334E-03,+58.033915E-03
-1.116700E-03,-24.736177E-03,-9.484923E-03,-147.673395E-03,+59.038940E-03
-1.116600E-03,-20.716077E-03,-13.505023E-03,-147.673395E-03,+60.043965E-03
-1.116500E-03,-16.695976E-03,-13.505023E-03,-147.673395E-03,+60.043965E-03
-1.116400E-03,-16.695976E-03,-13.505023E-03,-147.673395E-03,+58.913312E-03
-1.116300E-03,-21.218589E-03,-13.505023E-03,-147.673395E-03,+59.038940E-03
-1.116200E-03,-20.716077E-03,-8.982410E-03,-167.773897E-03,+60.043965E-03
-1.116100E-03,-16.695976E-03,-9.484923E-03,-165.261334E-03,+60.043965E-03
-1.116000E-03,-16.695976E-03,-13.505023E-03,-147.673395E-03,+58.913312E-03
-1.115900E-03,-16.695976E-03,-13.505023E-03,-147.673395E-03,+58.033915E-03
-1.115800E-03,-16.695976E-03,-8.982410E-03,-147.673395E-03,+58.033915E-03
-1.115700E-03,-16.695976E-03,-5.464822E-03,-147.673395E-03,+59.038940E-03
-1.115600E-03,-16.695976E-03,-9.484923E-03,-147.673395E-03,+58.913312E-03
-1.115500E-03,-21.218589E-03,-13.505023E-03,-167.773897E-03,+58.033915E-03
-1.115400E-03,-20.716077E-03,-13.505023E-03,-165.261334E-03,+58.033915E-03
-1.115300E-03,-16.695976E-03,-13.505023E-03,-147.673395E-03,+58.033915E-03
-1.115200E-03,-21.218589E-03,-13.505023E-03,-147.673395E-03,+58.033915E-03
-1.115100E-03,-24.736177E-03,-8.982410E-03,-147.673395E-03,+59.038940E-03
-1.115000E-03,-24.736177E-03,-9.484923E-03,-147.673395E-03,+60.043965E-03
-1.114900E-03,-24.736177E-03,-13.505023E-03,-147.673395E-03,+58.913312E-03
-1.114800E-03,-24.736177E-03,-13.505023E-03,-147.673395E-03,+59.038940E-03
-1.114700E-03,-20.716077E-03,-13.505023E-03,-147.673395E-03,+58.913312E-03
-1.114600E-03,-16.695976E-03,-13.505023E-03,-147.673395E-03,+59.038940E-03
-1.114500E-03,-16.695976E-03,-8.982410E-03,-147.673395E-03,+58.913312E-03
-1.114400E-03,-16.695976E-03,-9.484923E-03,-147.673395E-03,+59.038940E-03
-1.114300E-03,-16.695976E-03,-13.505023E-03,-147.673395E-03,+58.913312E-03
-1.114200E-03,-21.218589E-03,-13.505023E-03,-147.673395E-03,+58.033915E-03
-1.114100E-03,-24.736177E-03,-13.505023E-03,-147.673395E-03,+59.038940E-03
-1.114000E-03,-20.716077E-03,-13.505023E-03,-147.673395E-03,+58.913312E-03
-1.113900E-03,-21.218589E-03,-8.982410E-03,-147.673395E-03,+58.033915E-03
-1.113800E-03,-24.736177E-03,-9.484923E-03,-167.773897E-03,+58.033915E-03
-1.113700E-03,-24.736177E-03,-13.505023E-03,-165.261334E-03,+59.038940E-03
-1.113600E-03,-20.716077E-03,-13.505023E-03,-147.673395E-03,+60.043965E-03
-1.113500E-03,-21.218589E-03,-13.505023E-03,-147.673395E-03,+58.913312E-03
-1.113400E-03,-20.716077E-03,-13.505023E-03,-147.673395E-03,+58.033915E-03
-1.113300E-03,-16.695976E-03,-13.505023E-03,-147.673395E-03,+59.038940E-03
-1.113200E-03,-21.218589E-03,-13.505023E-03,-147.673395E-03,+60.043965E-03
-1.113100E-03,-20.716077E-03,-13.505023E-03,-147.673395E-03,+60.043965E-03
